Time,Open,High,Low,Latest,Volume
5/29/01,128.22,128.35,126.9,127.08,9012300
5/30/01,126.59,127.53,125,125.3,10041800
5/31/01,125.43,126.76,125.26,125.95,9875200
6/1/01,126.2,127.1,125.12,126.73,8848300
6/4/01,126.8,127.43,125.89,127.34,5634700
6/5/01,127.49,129.23,127.27,128.8,9115900
6/6/01,128.83,128.83,127.36,127.73,12067600
6/7/01,127.05,128.35,127,128.19,7358900
6/8/01,127.7,127.87,126.14,127,8170600
6/11/01,126.71,127.75,125.41,126.1,7012200
6/12/01,124.86,126.88,124.04,125.88,9369200
6/13/01,126.17,126.58,124.65,124.8,7629600
6/14/01,124.18,125.17,121.75,122,12603300
6/15/01,120.91,122.4,120.4,121.85,16821300
6/18/01,121.65,122.44,120.91,121.26,11376600
6/19/01,122.38,122.89,120.89,121.79,7732300
6/20/01,121.19,122.86,121.1,122.43,8787200
6/21/01,122.22,124.31,122.15,123.82,12259100
6/22/01,123.49,123.59,122.16,122.85,12212000
6/25/01,123.28,123.44,121.5,121.72,8406800
6/26/01,120.9,122.9,120.03,121.55,8006900
6/27/01,121.6,122.24,120.91,121.48,10105100
6/28/01,122,123.94,121.93,122.15,10271000
6/29/01,122.8,124.01,122.26,122.6,9824200
7/2/01,122.8,124.32,122.62,124.13,8522400
7/3/01,123.98,124.1,123.05,124.1,3303100
7/5/01,123.07,123.65,121.66,121.68,5520900
7/6/01,121.31,121.58,119.05,119.05,11666200
7/9/01,119.49,120.54,119.2,119.7,8340500
7/10/01,120.29,120.68,118.21,118.26,8628300
7/11/01,118.1,119.04,117.09,118.38,15374000
7/12/01,119.5,121.47,119.31,121.19,12004800
7/13/01,120.84,122.32,120.62,122.24,10433800
7/16/01,121.77,122.28,120.29,120.71,6915300
7/17/01,120.2,121.95,119.83,121.84,7470300
7/18/01,120.56,121.64,120.06,121.01,7710300
7/19/01,122.18,122.98,120.76,122.07,10083000
7/20/01,121.15,121.94,120.92,121.34,6705800
7/23/01,121.8,121.88,118.95,118.95,8067200
7/24/01,119,119.2,116.75,117.8,12271000
7/25/01,117.92,119.48,117.46,119.1,12090900
7/26/01,119.06,120.85,118.56,120.35,12930100
7/27/01,120.83,121.6,119.91,120.81,8481800
7/30/01,121.19,121.35,120.3,120.85,8547700
7/31/01,122.34,122.68,120.18,121.35,11918600
8/1/01,121.97,122.7,120.9,122.11,11941800
8/2/01,123.23,123.35,121.46,122.61,11070200
8/3/01,122.36,122.37,120.2,121.94,10817900
8/6/01,121.35,121.51,120.1,120.3,8550400
8/7/01,120.27,121.53,119.91,120.77,8865100
8/8/01,120.12,121.16,118.43,118.53,15183800
8/9/01,118.7,118.97,117.86,118.88,14118500
8/10/01,118.8,119.84,117.34,119.29,11173300
8/13/01,119.6,119.85,118.81,119.32,7435400
8/14/01,120.14,120.35,118.8,119.27,13178100
8/15/01,119.23,119.61,118.08,118.24,8520600
8/16/01,117.8,118.75,117,118.65,10735800
8/17/01,117.65,117.87,116.01,116.75,11604600
8/20/01,116.8,117.9,116.55,117.83,10417400
8/21/01,117.8,118.54,115.8,115.82,14481500
8/22/01,116.75,117.43,115.78,117.02,11752900
8/23/01,116.96,117.52,116.49,116.6,8750300
8/24/01,117.21,119.13,116.74,119.02,11688900
8/27/01,118.97,119.2,118.26,118.31,7428100
8/28/01,118.28,118.49,116.58,116.58,12046600
8/29/01,117.13,117.18,115.17,115.54,16181800
8/30/01,114.85,115.91,112.01,113.32,17693300
8/31/01,113.4,114.77,113.13,114.15,15985700
9/4/01,113.85,116.79,113.37,113.42,24476400
9/5/01,113.7,114.19,111.95,113.7,21477700
9/6/01,112.65,113.3,110.77,110.77,21655500
9/7/01,110.02,110.05,108.63,108.72,33133900
9/10/01,107.7,111.07,107.55,110.05,23409000
9/17/01,101,106.4,100,104.3,32388700
9/18/01,104.33,105.3,103.36,104.05,22029200
9/19/01,104.1,104.5,98.56,101.95,42772100
9/20/01,100.4,101.85,98.56,98.71,36212800
9/21/01,94.05,99.7,93.8,97.28,49783500
9/24/01,99.72,101.16,99.06,100.7,25549900
9/25/01,100.75,102,99.9,101.75,25462800
9/26/01,102.35,102.4,100.43,101.39,18587700
9/27/01,101.25,102.29,100,102.27,20536800
9/28/01,102.98,104.6,102.5,104.44,21787700
10/1/01,103.9,104.32,102.42,104.27,20457800
10/2/01,104,105.58,103.07,105.58,19833600
10/3/01,104.6,107.88,104.35,107.35,32070900
10/4/01,108.29,108.97,106.6,107.44,32676200
10/5/01,107.25,107.62,105.52,107.23,29830200
10/8/01,106.28,107.3,105.87,106.53,12971200
10/9/01,106.61,106.75,105.6,105.96,15976300
10/10/01,105.8,108.55,105.52,108.32,19992400
10/11/01,108.95,110.3,108.95,110,23011500
10/12/01,109.15,109.89,107.3,109.5,31363500
10/15/01,108.63,109.45,108.06,109.3,16875000
10/16/01,109.8,110.62,108.95,109.99,15885900
10/17/01,111.07,111.15,107.65,107.65,28601700
10/18/01,107.82,108.16,106.75,107.42,16521100
10/19/01,107,107.91,106.01,107.35,21916200
10/22/01,107.3,109.57,107.21,109.47,17571200
10/23/01,109.96,110.28,108.38,108.91,22064500
10/24/01,108.98,109.45,108.22,108.62,16065400
10/25/01,107.45,110.6,106.74,110.57,27504000
10/26/01,109.95,111.79,109.67,110.32,18623700
10/29/01,110.16,110.55,107.45,107.45,18743900
10/30/01,107.35,107.7,105.56,106.16,26203400
10/31/01,106.9,107.86,105.8,105.8,28132000
11/1/01,106.6,109.01,105.7,108.51,29807300
11/2/01,108.44,109.38,107.87,109.25,17577900
11/5/01,110.12,111.09,109.95,110.68,16100900
11/6/01,110.35,112.48,109.85,112.4,23248100
11/7/01,111.8,113.12,111.64,112.25,19717800
11/8/01,112.87,114.08,111.9,112.6,22749200
11/9/01,112.25,112.96,111.44,112.72,15897500
11/12/01,111,112.65,110,112.03,26096500
11/13/01,113.44,114.55,113.18,114.55,15347100
11/14/01,115.17,115.4,113.71,114.66,17595500
11/15/01,114.37,115.18,113.93,114.87,19472500
11/16/01,115.08,115.1,113.4,114.36,18135900
11/19/01,114.92,115.85,114.45,115.77,13683800
11/20/01,115.37,115.8,114.64,114.8,16223000
11/21/01,114.5,114.67,113.51,114.04,11471100
11/23/01,114.04,115.75,114,115.68,6716900
11/26/01,115.75,116.34,115.07,115.93,13729700
11/27/01,115.62,116.9,114.09,115.43,19266400
11/28/01,114.74,115.17,113.25,113.34,20247200
11/29/01,113.66,114.92,113,114.87,17267900
11/30/01,114.4,114.91,114.02,114.05,13680400
