Time,Open,High,Low,Latest,Volume
3/2/23,392.68,398.69,392.33,397.81,85404700
3/3/23,399.71,404.45,399.03,404.19,90119900
3/6/23,405.05,407.45,404.01,404.47,72795900
3/7/23,404.42,404.67,397.625,398.27,108310600
3/8/23,398.39,399.71,396.59,398.92,74746600
3/9/23,399.74,401.48,390.53,391.56,111945300
3/10/23,390.99,393.16,384.32,385.91,189418908
3/13/23,381.81,390.39,380.65,385.36,157789900
3/14/23,390.5,393.45,387.05,391.73,149752300
3/15/23,385.89,389.49,383.71,389.28,172996900
3/16/23,386.82,396.47,386.29,396.11,143753900
3/17/23,393.22,394.4,388.55,389.99,140553400
3/20/23,390.8,394.17,390.07,393.74,93055700
3/21/23,397.24,399.41,395.58,398.91,91524200
3/22/23,398.73,402.49,392.07,392.11,111746500
3/23/23,395.09,399.29,390.35,393.17,119351300
3/24/23,391.84,395.84,389.4,395.75,107770100
3/27/23,398.12,398.92,395.56,396.49,74010400
3/28/23,395.77,396.49,393.69,395.6,62871600
3/29/23,399.92,401.6,398.68,401.35,77497800
3/30/23,404.09,404.35,401.76,403.7,69840000
3/31/23,404.66,409.7,404.55,409.39,112062600
4/3/23,408.85,411.37,408.44,410.95,67391100
4/4/23,411.62,411.92,407.24,408.67,66601500
4/5/23,407.91,408.7,405.88,407.6,65200200
4/6/23,406.77,409.48,405.678,409.19,63743300
4/10/23,406.61,409.69,405.97,409.61,63681000
4/11/23,410.26,411.18,408.92,409.72,59297900
4/12/23,411.87,412.17,407.44,408.05,86420300
4/13/23,409.18,413.84,407.9922,413.47,85814700
4/14/23,412.81,415.09,410.06,412.46,78161500
4/17/23,412.37,413.96,411.085,413.94,66436400
4/18/23,415.58,415.72,412.7802,414.21,63559900
4/19/23,412.22,415.08,412.16,414.14,55227300
4/20/23,411.21,413.7,410.27,411.88,75840300
4/21/23,412.19,412.68,410.17,412.2,73457400
4/24/23,411.99,413.07,410.6,412.63,64332000
4/25/23,410.58,411.16,406.02,406.08,97766700
4/26/23,406.72,407.84,403.78,404.36,80447000
4/27/23,407,412.69,406.74,412.41,92968300
4/28/23,411.49,415.94,411.43,415.93,89433100
5/1/23,415.47,417.62,415.265,415.51,62122200
5/2/23,414.77,414.82,407.82,410.84,103998400
5/3/23,411.36,413.87,407.77,408.02,91531700
5/4/23,406.93,407.27,403.74,405.13,94901800
5/5/23,408.91,413.72,408.64,412.63,87891700
5/8/23,412.97,413.24,411.28,412.74,50046700
5/9/23,411.13,412.09,410.6894,410.93,49220100
5/10/23,413.88,414.535,408.87,412.85,96142900
5/11/23,411.95,412.43,409.97,412.13,70157000
5/12/23,413.42,413.64,409.07,411.59,70481500
5/15/23,412.22,413.43,410.23,413.01,54289300
5/16/23,411.86,412.815,410.24,410.25,57705400
5/17/23,412.35,415.855,410.635,415.23,87286900
5/18/23,414.9,419.67,414.67,419.23,97177200
5/19/23,420.17,420.72,417.35,418.62,103793300
5/22/23,418.64,420.39,417.35,418.79,60745400
5/23/23,417.08,418.722,413.68,414.09,86383400
5/24/23,412.42,412.82,409.8795,411.09,89213600
5/25/23,414.74,416.16,412.4101,414.65,90961600
5/26/23,415.33,420.77,415.25,420.02,93829900
5/30/23,422.03,422.58,418.735,420.18,72215900
5/31/23,418.28,419.22,416.22,417.85,110811700
6/1/23,418.09,422.92,416.79,421.82,88865000
6/2/23,424.5,428.74,423.95,427.92,91426100
6/5/23,428.28,429.62,426.37,427.1,65460100
6/6/23,426.67,428.5772,425.99,428.03,64022100
6/7/23,428.44,429.62,426.11,426.55,85373200
6/8/23,426.62,429.6,425.82,429.13,61952800
6/9/23,429.96,431.99,428.87,429.9,85647200
6/12/23,430.92,433.88,430.17,433.8,76256700
6/13/23,435.32,437.33,434.63,436.66,95899700
6/14/23,437.01,439.0612,433.59,437.18,100612000
6/15/23,436.33,443.9,436.23,442.6,110303100
6/16/23,443.02,443.6078,438.97,439.46,114165800
6/20/23,437.45,438.37,435.03,437.18,76160300
6/21/23,436.16,436.99,434.33,434.94,76982200
6/22/23,433.95,436.62,433.6,436.51,70637100
6/23/23,432.93,435.06,432.47,433.21,92074500
6/26/23,432.62,434.61,431.19,431.44,72823500
6/27/23,432.35,436.81,431.88,436.17,72813700
6/28/23,435.05,437.44,434.41,436.39,75635900
6/29/23,435.96,438.28,435.54,438.11,67882300
6/30/23,441.44,444.3,441.11,443.28,104964000
7/3/23,442.92,444.08,442.63,443.79,32793300
7/5/23,441.91,443.889,441.9,443.13,58418400
7/6/23,439.42,440.1,437.06,439.66,80658300
7/7/23,438.63,442.64,438.3,438.55,86134100
7/10/23,438.18,439.84,437.585,439.66,62443500
7/11/23,440.45,442.97,439.44,442.46,64463700
7/12/23,446.39,447.4799,444.91,446.02,91924500
7/13/23,447.9,450.38,447.45,449.56,72425200
7/14/23,450.48,451.36,448.49,449.28,69815800
7/17/23,449.13,451.93,449.08,450.84,52680200
7/18/23,450.5,454.86,450.0484,454.19,80744400
7/19/23,455.01,456.43,454.1119,455.2,65891600
7/20/23,454.17,455.1,451.44,452.18,70591600
7/21/23,453.96,454.165,452.17,452.18,71275600
7/24/23,453.37,455.04,452.298,454.2,54023300
7/25/23,453.92,456.735,453.87,455.44,55191200
7/26/23,454.47,456.99,453.38,455.51,71052800
7/27/23,459.02,459.44,451.55,452.49,92194300
7/28/23,455.88,457.78,452.4918,456.92,80011700
7/31/23,457.41,458.16,456.045,457.79,62040400
8/1/23,456.27,457.25,455.49,456.48,55502200
8/2/23,453.25,453.52,449.3499,450.13,93933300
8/3/23,448.04,450.79,447.37,448.84,64419600
8/4/23,450.72,452.895,446.27,446.81,100128900
8/7/23,448.71,450.865,447.99,450.71,58357400
8/8/23,448.08,450.6952,445.2705,448.75,71361300
8/9/23,449.03,449.1999,444.96,445.75,78789500
8/10/23,448.19,451.7,444.7,445.91,93005500
8/11/23,443.97,446.7007,443.345,445.65,68690900
8/14/23,444.7,448.11,444.38,448.11,47867400
8/15/23,446.27,446.64,442.3,442.89,75707500
8/16/23,442.46,444.18,439.53,439.64,80107200
8/17/23,441.16,441.43,435.75,436.29,95711300
8/18/23,433.37,437.57,433.01,436.5,98851900
8/21/23,437.55,440.11,435.32,439.34,68718900
8/22/23,441.18,441.18,437.57,438.15,65062800
8/23/23,439.25,443.67,439.1,443.03,68441000
8/24/23,444.69,445.22,436.855,436.89,88517200
8/25/23,438.68,441.3,435,439.97,102325100
8/28/23,442.24,443.4,439.9728,442.76,61595300
8/29/23,442.65,449.45,442.46,449.16,83081900
8/30/23,449.51,451.67,448.78,451.01,69053900
8/31/23,451.65,452.83,450.16,450.35,66084500
9/1/23,453.17,453.67,449.68,451.19,58944000
9/5/23,450.73,451.06,449.17,449.24,55166200
9/6/23,448.4,448.51,443.81,446.22,70758500
9/7/23,443.11,445.55,442.75,444.85,70355400
9/8/23,444.9,447.11,444.53,445.52,62068400
9/11/23,448.24,448.77,446.4699,448.45,60180100
9/12/23,446.95,448.53,445.39,445.99,67565400
9/13/23,446.22,447.71,445.0793,446.51,60199200
9/14/23,449.07,451.08,447.715,450.36,83430800
9/15/23,447.14,447.48,442.92,443.37,111848800
9/18/23,443.05,444.97,442.56,443.63,55752200
9/19/23,442.68,443.29,439.94,442.71,66514600
9/20/23,444.01,444.435,438.43,438.64,82562600
9/21/23,435.7,435.97,431.23,431.39,104095800
9/22/23,432.45,434.1,429.99,430.42,100829600
9/25/23,429.17,432.27,428.72,432.23,70874500
9/26/23,429.09,429.82,425.02,425.88,96168400
9/27/23,427.09,427.67,422.29,426.05,104705800
9/28/23,425.48,430.2499,424.87,428.52,92258300
9/29/23,431.67,431.85,425.91,427.48,115111300
10/2/23,426.62,428.6,424.46,427.31,83798600
10/3/23,425.06,427.3729,420.18,421.59,103760600
10/4/23,422.07,425.4299,420.56,424.66,87452900
10/5/23,424.36,425.37,421.1701,424.5,70142700
10/6/23,421.97,431.125,420.6,429.54,113273300
10/9/23,427.58,432.88,427.0101,432.29,80374300
10/10/23,432.94,437.22,432.53,434.54,78607200
10/11/23,435.64,436.58,433.18,436.32,62451700
10/12/23,436.95,437.335,431.23,433.66,81154200
10/13/23,435.21,436.45,429.88,431.5,95201100
10/16/23,433.82,437.14,433.57,436.04,75433100
10/17/23,432.81,438.14,432.45,436.02,75324700
10/18/23,434.19,435.18,429.09,430.21,93559700
10/19/23,430.95,432.82,425.725,426.43,121322900
10/20/23,425.98,426.54,421.08,421.19,123919800
10/23/23,419.61,424.45,417.8,420.46,92035100
10/24/23,422.65,424.82,420.74,423.63,78564200
10/25/23,421.89,421.92,417.015,417.55,94223100
10/26/23,416.45,417.325,411.6,412.55,115156700
10/27/23,414.19,414.6,409.21,410.68,107367600
10/30/23,413.56,416.68,412.22,415.59,86562600
10/31/23,416.18,418.53,414.21,418.2,79665100
11/1/23,419.2,423.5,418.6499,422.66,98068100
11/2/23,426.58,430.915,426.56,430.76,94938900
11/3/23,433.14,436.29,433.01,434.69,100167700
11/6/23,435.47,436.1498,433.68,435.69,67831600
11/7/23,435.69,437.585,434.51,436.93,64256100
11/8/23,437.55,438.09,434.87,437.25,61746000
11/9/23,438.43,438.47,433.4,433.84,83174400
11/10/23,435.98,440.93,433.8335,440.61,89558000
11/13/23,439.23,441.33,438.42,440.19,52236000
11/14/23,446.32,450.06,446.09,448.73,97176900
11/15/23,450.11,451.38,448.8,449.68,77327500
11/16/23,449.22,450.56,448.12,450.23,66665700
11/17/23,450.24,451.42,449.29,450.79,83193900
11/20/23,450.53,455.125,450.52,454.26,70055600
11/21/23,453.18,454.131,451.9599,453.27,49244600
11/22/23,454.98,456.38,453.8895,455.02,59446500
11/24/23,455.07,455.5,454.73,455.3,29737300
11/27/23,454.65,455.4901,454.0799,454.48,50505900
11/28/23,454.08,456.27,453.5,454.93,62115000
11/29/23,457.15,458.32,454.2,454.61,63145900
11/30/23,455.48,456.76,453.34,456.4,79752700
12/1/23,455.77,459.65,455.16,459.1,89183400
12/4/23,455.6,459.1206,454.34,456.69,72430800
12/5/23,455.26,457.59,454.87,456.6,69793400
12/6/23,458.81,458.84,454.31,454.76,69124600
12/7/23,456.91,458.9,456.29,458.23,66995400
12/8/23,457.46,460.745,457.21,460.2,83194400
12/11/23,459.69,462.17,459.47,461.99,65002200
12/12/23,461.63,464.2,460.6,464.1,68327600
12/13/23,464.49,470.7599,464.12,470.5,93277900
12/14/23,472.5,473.73,469.25,472.01,119026000
12/15/23,469.49,470.7,467.4263,469.33,141553600
12/18/23,470.98,472.98,469.8929,471.97,70375200
12/19/23,472.53,474.92,472.45,474.84,55761800
12/20/23,473.96,475.895,467.82,468.26,102920900
12/21/23,471.33,472.975,468.84,472.7,86667400
12/22/23,473.86,475.38,471.7,473.65,67160400
12/26/23,474.07,476.58,473.99,475.65,55386900
12/27/23,475.44,476.66,474.89,476.51,68000300
12/28/23,476.88,477.55,476.26,476.69,77158100
12/29/23,476.49,477.03,473.3,475.31,122283100
1/2/24,472.16,473.67,470.49,472.65,123007700
1/3/24,470.43,471.19,468.17,468.79,103585800
1/4/24,468.3,470.96,467.05,467.28,84232100
1/5/24,467.49,470.44,466.43,467.92,86118900
1/8/24,468.43,474.75,468.3,474.6,74879000
1/9/24,471.87,474.93,471.35,473.88,65931400
1/10/24,474.16,477.4481,473.87,476.56,67310600
1/11/24,477.59,478.12,472.26,476.35,77940700
1/12/24,477.84,478.6,475.23,476.68,58026400
1/16/24,475.26,476.6098,473.06,474.93,85014800
1/17/24,471.82,472.79,469.87,472.29,68843800
1/18/24,474.01,477.06,472.42,476.49,91856200
1/19/24,477.65,482.72,476.5374,482.43,110834400
1/22/24,484.01,485.22,482.78,483.45,75844900
1/23/24,484.01,485.105,482.89,484.86,49945200
1/24/24,487.81,488.77,484.8819,485.39,81765000
1/25/24,487.575,488.305,485.39,488.03,72524900
1/26/24,487.59,489.12,486.54,487.41,76641600
1/29/24,487.73,491.415,487.17,491.27,61322700
1/30/24,490.56,491.62,490.11,490.89,58618300
1/31/24,488.62,489.0813,482.86,482.88,126011000
2/1/24,484.63,489.23,483.8,489.2,91891600
2/2/24,489.65,496.05,489.3,494.35,99228100
2/5/24,493.7,494.3778,490.23,492.55,75757100
2/6/24,493.52,494.32,492.05,493.98,55918600
2/7/24,496.29,498.53,495.36,498.1,70556500
2/8/24,498.1,498.71,497.26,498.32,52343600
2/9/24,498.84,501.65,498.49,501.2,63979300
2/12/24,501.17,503.5,500.24,500.98,56502200
2/13/24,494.53,497.09,490.715,494.08,113099200
2/14/24,496.79,499.07,494.4,498.57,68387800
2/15/24,499.29,502.2,498.795,502.01,61682900
2/16/24,501.7,502.87,498.75,499.51,75532900
2/20/24,497.72,498.41,494.45,496.76,71736700
2/21/24,495.42,497.37,493.56,497.21,59603700
2/22/24,504.01,508.49,503.02,507.5,76402500
2/23/24,509.27,510.13,507.1,507.85,61321800
2/26/24,508.3,508.75,505.86,505.99,50386700
2/27/24,506.7,507.16,504.75,506.93,48854500
2/28/24,505.33,506.855,504.96,506.26,56506600
2/29/24,508.07,509.74,505.35,508.08,83924700
3/1/24,508.98,513.29,508.56,512.85,76844800
3/4/24,512.03,514.2,512,512.3,49799200
3/5/24,510.24,510.7,504.91,507.18,72855600
3/6/24,510.55,512.069,508.42,509.75,68382300
3/7/24,513.14,515.89,509.8053,514.81,58652000
3/8/24,515.46,518.2201,511.13,511.72,86551154
3/11/24,510.48,511.88,508.5,511.28,62557100
3/12/24,513.45,517.38,510.86,516.78,73114400
3/13/24,517.11,517.29,514.49,515.97,55104000
3/14/24,516.97,517.125,511.82,514.95,110171800
3/15/24,510.21,511.7,508.122,509.83,107646300
3/18/24,514,515.48,512.44,512.86,88893300
3/19/24,512.15,515.995,511.12,515.71,60755200
3/20/24,515.77,520.62,515.08,520.48,69594500
3/21/24,523.39,524.11,521.91,522.2,60256100
3/22/24,522.11,522.605,520.97,521.21,79070800
3/25/24,519.8,520.95,519.61,519.77,48512100
3/26/24,521.23,521.58,518.4,518.81,65463700
3/27/24,521.71,523.21,519.485,523.17,82999700
3/28/24,523.21,524.61,522.78,523.07,96294800
4/1/24,523.83,524.38,520.97,522.16,62477500
4/2/24,518.24,518.98,516.48,518.84,74230300
4/3/24,517.72,520.95,517.665,519.41,59155700
4/4/24,523.52,523.8674,512.755,513.07,96858000
4/5/24,514.46,520.44,514.01,518.43,74546400
4/8/24,519.15,520.18,517.89,518.72,48401700
4/9/24,520.5,520.75,514.35,519.32,68124300
4/10/24,513.48,516.16,512.09,514.12,82652800
4/11/24,515.68,519.48,512.08,518,70099000
4/12/24,514.37,515.815,509.08,510.85,92561000
4/15/24,515.13,515.3,503.58,504.45,92101400
4/16/24,504.94,506.5,502.21,503.53,73484000
4/17/24,506.05,506.22,499.12,500.55,75910300
4/18/24,501.98,504.13,498.56,499.52,74548000
4/19/24,499.44,500.455,493.86,495.16,102212500
4/22/24,497.83,502.38,495.43,499.72,67961000
4/23/24,501.78,506.09,499.5328,505.65,64633600
4/24/24,506.56,507.37,503.13,505.41,55928000
4/25/24,499.18,504.27,497.49,503.49,69122300
4/26/24,506.35,509.88,505.7,508.26,64306100
4/29/24,510.09,510.75,507.25,510.06,46415400
4/30/24,508.56,509.56,501.98,501.98,77483500
5/1/24,501.38,508.19,499.865,500.35,80242800
5/2/24,504.15,505.89,499.55,505.03,62550100
5/3/24,511.16,512.55,508.56,511.29,72756700
5/6/24,513.75,516.61,513.3,516.57,47264700
5/7/24,517.56,518.57,516.45,517.14,52561300
5/8/24,515.26,517.74,515.14,517.19,42047200
5/9/24,517.38,520.2074,516.705,520.17,43643600
5/10/24,521.81,522.635,519.59,520.84,52233100
5/13/24,522.56,522.67,519.74,520.91,36716300
5/14/24,521.11,523.83,520.56,523.3,57535800
5/15/24,525.83,530.08,525.18,529.78,59504900
5/16/24,529.88,531.5218,528.54,528.69,50244800
5/17/24,528.81,529.52,527.32,529.45,59187500
5/20/24,529.57,531.5601,529.17,530.06,37764200
5/21/24,529.28,531.52,529.07,531.36,33437000
5/22/24,530.65,531.38,527.6,529.83,48389900
5/23/24,532.96,533.07,524.72,525.96,57211100
5/24/24,527.85,530.27,526.881,529.44,41291000
5/28/24,530.27,530.51,527.11,529.81,36269600
5/29/24,525.68,527.31,525.37,526.1,45190300
5/30/24,524.52,525.2,521.33,522.61,46468500
5/31/24,523.59,527.5,518.36,527.37,90785700
